Player,Team,Cap Number,Cash Spent
Demetrious Cox,Bengals,"$91,200 ","$91,200 "
Trey Marshall,Broncos,"$84,706 ","$84,706 "
Tyree Robinson,49ers,"$84,706 ","$84,706 "
Ahmad Thomas,Colts,"$84,706 ","$84,706 "
J.T. Gray,Saints,"$84,000 ","$84,000 "
Leon McQuay III,Chiefs,"$83,600 ","$83,600 "
A.J. Howard,Giants,"$76,000 ","$76,000 "
Tyvis Powell,49ers,"$74,118 ","$74,118 "
Maurice Smith,Dolphins,"$65,294 ","$65,294 "
David Jones,Lions,"$60,400 ","$60,400 "
Jeremy Reaves,Washington,"$56,471 ","$56,471 "
Dallin Leavitt,Raiders,"$56,471 ","$56,471 "
Terrell Williams,49ers,"$30,400 ","$30,400 "
Tray Matthews,Packers,"$30,400 ","$30,400 "
Jason Thompson,Packers,"$30,400 ","$30,400 "
Kai Nacua,Panthers,"$30,400 ","$30,400 "
Brandon Bryant,Jets,"$28,235 ","$28,235 "
Chris Cooper,Bengals,"$15,200 ","$15,200 "
Charlie Miller,Jets,"$15,200 ","$15,200 "
Jack Tocho,Washington,"$15,200 ","$15,200 "
Dean Marlowe,Bills,$0 ,$0 
A.J. Hendy,Texans,$0 ,$0 
Rolan Milligan,Colts,$0 ,$0 
